dateiname,muster,treffer_text,orgs_ner,pers_ner,kontext
33. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,● Alsberg & Co.; ● Dehne & Sepp,● Ph; Philipp; Großestr; Großestr; ● Samson David,"Judengeschäft. ● Ph. Philipp, Großestr.: ist ein Judengeschäft. ● Alsberg & Co., Großestr.: ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Dehne & Sepp, nebenan Großestraße 24/25: ist ein christliches Geschäft. ● Samson David,"
33. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,● Aug. Hammersen,● Samson David,"& Sepp, nebenan Großestraße 24/25: ist ein christliches Geschäft. ● Samson David, Krahnstr.: ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Aug. Hammersen, Bierstraße 31: ist ein christliches Geschäft. Weitere Anzeigen: ● Spar- und"
34. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,,● Emil Schönfeld; Großestr; ● L. Heymann; ● S. Wertheim,Gelegenheit zum Einkauf von Aussteuern. Dies ist ein christliches Geschäft. ● Emil Schönfeld – Großestr. [TREFFER] ist ein Judengeschäft [/TREFFER] . ● L. Heymann – Hasestr. ist ein Judengeschäft. ● S. Wertheim – Großestr. ist
34. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,,● Emil Schönfeld; Großestr; ● L. Heymann – Hasestr; ● S. Wertheim; Hugo Mosbach; Großestr,christliches Geschäft. ● Emil Schönfeld – Großestr. ist ein Judengeschäft. ● L. Heymann – Hasestr. [TREFFER] ist ein Judengeschäft [/TREFFER] . ● S. Wertheim – Großestr. ist ein Judengeschäft. ● Hugo Mosbach – Großestr. ist
34. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,,● L. Heymann – Hasestr; ● S. Wertheim; Hugo Mosbach; Großestr,ein Judengeschäft. ● L. Heymann – Hasestr. ist ein Judengeschäft. ● S. Wertheim – Großestr. [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Hugo Mosbach – Großestr. ist ein Judengeschäft. ● Markus & Co. – Großestr.
34. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Blank & Co.,● S. Wertheim; Hugo Mosbach; Großestr,ein Judengeschäft. ● S. Wertheim – Großestr. ist ein Judengeschäft. ● Hugo Mosbach – Großestr. [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Markus & Co. – Großestr. ist ein Judengeschäft. ● Blank & Co. –
34. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Blank & Co. – Großestr,Hugo Mosbach; Großestr; ● Samson David,Judengeschäft. ● Hugo Mosbach – Großestr. ist ein Judengeschäft. ● Markus & Co. – Großestr. [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Blank & Co. – Großestr. ist ein Judengeschäft. ● Samson David – Krahnstr.
34. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Markus & Co. – Großestr; ● Blank & Co. – Großestr; ● Alsberg & Co. – Großestr,● Samson David,● Markus & Co. – Großestr. ist ein Judengeschäft. ● Blank & Co. – Großestr. [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Samson David – Krahnstr. ist ein Judengeschäft. ● Alsberg & Co. – Großestr.
34. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Blank & Co. – Großestr; ● Alsberg & Co. – Großestr,● Samson David; ● Ph; Philipp – Großestr,Judengeschäft. ● Blank & Co. – Großestr. ist ein Judengeschäft. ● Samson David – Krahnstr. [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Alsberg & Co. – Großestr. ist ein Judengeschäft. ● Ph. Philipp – Großestr.
34. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Alsberg & Co. – Großestr,● Samson David; ● Ph; Philipp – Großestr; ● Otto Loeb,Judengeschäft. ● Samson David – Krahnstr. ist ein Judengeschäft. ● Alsberg & Co. – Großestr. [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Ph. Philipp – Großestr. ist ein Judengeschäft. ● Otto Loeb – Johannisstr. ist
34. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Alsberg & Co. – Großestr,● Ph; Philipp – Großestr; ● Otto Loeb; ● Mantelhaus Strodthoff,"Judengeschäft. ● Alsberg & Co. – Großestr. ist ein Judengeschäft. ● Ph. Philipp – Großestr. [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Otto Loeb – Johannisstr. ist ein Judengeschäft. ● Mantelhaus Strodthoff, Wittekindstraße 1. ist"
34. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Heinr; Welp,● Ph; Philipp – Großestr; ● Otto Loeb; ● Mantelhaus Strodthoff,"ein Judengeschäft. ● Ph. Philipp – Großestr. ist ein Judengeschäft. ● Otto Loeb – Johannisstr. [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Mantelhaus Strodthoff, Wittekindstraße 1. ist ein christliches Geschäft. ● Heinr. Welp, Hasestraße 11-15."
34. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,,● Emil Schönfeld; Großestr; ● L. Heymann; ● S. Wertheim,Einkauf von Aussteuern. Dies ist ein christliches Geschäft. ● Emil Schönfeld – Großestr. ist ein [TREFFER] Judengeschäft [/TREFFER] . ● L. Heymann – Hasestr. ist ein Judengeschäft. ● S. Wertheim – Großestr. ist
34. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,,● Emil Schönfeld; Großestr; ● L. Heymann – Hasestr; ● S. Wertheim; Hugo Mosbach; Großestr,● Emil Schönfeld – Großestr. ist ein Judengeschäft. ● L. Heymann – Hasestr. ist ein [TREFFER] Judengeschäft [/TREFFER] . ● S. Wertheim – Großestr. ist ein Judengeschäft. ● Hugo Mosbach – Großestr. ist
34. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,,● L. Heymann; ● S. Wertheim; Hugo Mosbach; Großestr,● L. Heymann – Hasestr. ist ein Judengeschäft. ● S. Wertheim – Großestr. ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Hugo Mosbach – Großestr. ist ein Judengeschäft. ● Markus & Co. – Großestr.
34. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,● Blank & Co.,● S. Wertheim; Hugo Mosbach; Großestr,● S. Wertheim – Großestr. ist ein Judengeschäft. ● Hugo Mosbach – Großestr. ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Markus & Co. – Großestr. ist ein Judengeschäft. ● Blank & Co. –
34. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,● Blank & Co. – Großestr,Hugo Mosbach; Großestr; ● Samson David,Hugo Mosbach – Großestr. ist ein Judengeschäft. ● Markus & Co. – Großestr. ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Blank & Co. – Großestr. ist ein Judengeschäft. ● Samson David – Krahnstr.
34. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,● Blank & Co. – Großestr; ● Alsberg & Co. – Großestr,● Samson David,& Co. – Großestr. ist ein Judengeschäft. ● Blank & Co. – Großestr. ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Samson David – Krahnstr. ist ein Judengeschäft. ● Alsberg & Co. – Großestr.
34. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,Blank & Co. – Großestr; ● Alsberg & Co. – Großestr,● Samson David; ● Ph; Philipp – Großestr,Blank & Co. – Großestr. ist ein Judengeschäft. ● Samson David – Krahnstr. ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Alsberg & Co. – Großestr. ist ein Judengeschäft. ● Ph. Philipp – Großestr.
34. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,● Alsberg & Co. – Großestr,Samson David; ● Ph; Philipp – Großestr; ● Otto Loeb,Samson David – Krahnstr. ist ein Judengeschäft. ● Alsberg & Co. – Großestr. ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Ph. Philipp – Großestr. ist ein Judengeschäft. ● Otto Loeb – Johannisstr. ist
34. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,Alsberg & Co. – Großestr,● Ph; Philipp – Großestr; ● Otto Loeb; ● Mantelhaus Strodthoff,"Alsberg & Co. – Großestr. ist ein Judengeschäft. ● Ph. Philipp – Großestr. ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Otto Loeb – Johannisstr. ist ein Judengeschäft. ● Mantelhaus Strodthoff, Wittekindstraße 1. ist"
34. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,● Heinr; Welp,Philipp – Großestr; ● Otto Loeb; ● Mantelhaus Strodthoff,"● Ph. Philipp – Großestr. ist ein Judengeschäft. ● Otto Loeb – Johannisstr. ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Mantelhaus Strodthoff, Wittekindstraße 1. ist ein christliches Geschäft. ● Heinr. Welp, Hasestraße 11-15."
36. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,,Christlich): ● Großestr; Hugo Mosbach; Großestr,"Mellerstraße 95. Fernruf 2283. Spezialfirma für Zentral-Heizung. Anzeigen zur Geschäftswelt (Gegenüberstellung Jüdisch/Christlich): ● Großestr. 1 [TREFFER] ist ein Judengeschäft [/TREFFER] . / Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Hugo Mosbach, Großestr. ist ein Judengeschäft."
36. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Alsberg & Co.,Hugo Mosbach; Großestr; Großestr,"1 ist ein Judengeschäft. / Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Hugo Mosbach, Großestr. [TREFFER] ist ein Judengeschäft [/TREFFER] . / Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Alsberg & Co., Großestr. ist ein"
36. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Alsberg & Co.; Dehne & Sopp,Großestr; ● Otto,"ist ein Judengeschäft. / Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Alsberg & Co., Großestr. [TREFFER] ist ein Judengeschäft [/TREFFER] . / Dehne & Sopp nebenan, Große Straße 24/25, ist ein christliches Geschäft. ● Otto"
36. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,Dehne & Sopp,● Otto Loeb; Johannisstr; Karoline Tweer; ● S. Wertheim; Großestr,"Dehne & Sopp nebenan, Große Straße 24/25, ist ein christliches Geschäft. ● Otto Loeb, Johannisstr. [TREFFER] ist ein Judengeschäft [/TREFFER] . / Karoline Tweer, Johannisstraße 35, ist ein christliches Geschäft. ● S. Wertheim, Großestr. ist"
36. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,,Karoline Tweer; ● S. Wertheim; Großestr; W. Becker; Herrenteichstr,"ein Judengeschäft. / Karoline Tweer, Johannisstraße 35, ist ein christliches Geschäft. ● S. Wertheim, Großestr. [TREFFER] ist ein Judengeschäft [/TREFFER] . / W. Becker, Herrenteichstr. 9/10 - Rosenplatz, ist ein christliches Geschäft. Private Näh- und"
36. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,,Christlich): ● Großestr; Hugo Mosbach; Großestr,"Fernruf 2283. Spezialfirma für Zentral-Heizung. Anzeigen zur Geschäftswelt (Gegenüberstellung Jüdisch/Christlich): ● Großestr. 1 ist ein [TREFFER] Judengeschäft [/TREFFER] . / Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Hugo Mosbach, Großestr. ist ein Judengeschäft."
36. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,● Alsberg & Co.,Hugo Mosbach; Großestr,"ein Judengeschäft. / Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Hugo Mosbach, Großestr. ist ein [TREFFER] Judengeschäft [/TREFFER] . / Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Alsberg & Co., Großestr. ist ein"
36. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,● Alsberg & Co.; Dehne & Sopp,Großestr; ● Otto,"Judengeschäft. / Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Alsberg & Co., Großestr. ist ein [TREFFER] Judengeschäft [/TREFFER] . / Dehne & Sopp nebenan, Große Straße 24/25, ist ein christliches Geschäft. ● Otto"
36. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,,● Otto Loeb; Johannisstr; Karoline Tweer; ● S. Wertheim; Großestr,"Sopp nebenan, Große Straße 24/25, ist ein christliches Geschäft. ● Otto Loeb, Johannisstr. ist ein [TREFFER] Judengeschäft [/TREFFER] . / Karoline Tweer, Johannisstraße 35, ist ein christliches Geschäft. ● S. Wertheim, Großestr. ist"
36. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,,Karoline Tweer; ● S. Wertheim; Großestr; W. Becker; Herrenteichstr,"/ Karoline Tweer, Johannisstraße 35, ist ein christliches Geschäft. ● S. Wertheim, Großestr. ist ein [TREFFER] Judengeschäft [/TREFFER] . / W. Becker, Herrenteichstr. 9/10 - Rosenplatz, ist ein christliches Geschäft. Private Näh- und"
38. Ausgabe 1930.txt,Juden-Firmen-Liste,Juden-Firmen,Markus & Co.,Hugo Mosbach; Max Blank; S. Alsberg; S. Wertheim; Emil Schönfeld; Ph,"Johanniskirche, und Bramscherstraße 191 zu jeder Zeit). Das Landgericht Osnabrück hat auf Antrag folgender 11 [TREFFER] Juden-Firmen [/TREFFER] : Hugo Mosbach, Max Blank, S. Alsberg, Markus & Co., S. Wertheim, Emil Schönfeld, Ph."
44. Ausgabe 1930.txt,jüdisch+Geschäftsbegriff,jüdische Warenhaus,,Aufmarsch,und Donnerstag Nachmittag 4 Uhr. Aufmarsch der pazifistischen Verräter Wie wird man Osnabrücker Verkehrsdirektor? Das [TREFFER] jüdische Warenhaus [/TREFFER] Tietz mächtiger als der Erzbischof von Köln — Der Kampf gegen das schwarz-rot verseuchte Preußen
45. Ausgabe 1930.txt,jüdisch+Geschäftsbegriff,jüdischen Warenhaus,,,"Cl. K., Osnabrück: Wir können Ihrem Wunsche, die Namen der Beamtenfrauen zu veröffentlichen, die im [TREFFER] jüdischen Warenhaus [/TREFFER] Alsberg kaufen, nicht entsprechen. Es muß dem Einzelnen unbenommen bleiben, seinen Bedarf da zu decken,"
48. Ausgabe 1930.txt,jüdisch+Geschäftsbegriff,jüdische Warenhaus,,Hugo Mosbach,"Juden-Invasion größeren Ausmaßes gehabt haben. Hugo Mosbach feiert sein zwanzigjähriges Bestehen, und nun rückt das [TREFFER] jüdische Warenhaus [/TREFFER] Alsberg an und verkündet sein Jubiläum. Vielleicht kommen vor Weihnachten noch ein halbes Dutzend andere."
49. Ausgabe 1930.txt,jüdisch+Geschäftsbegriff,"jüdischen
Warenhaus",,,"„Kulturschande des Antisemitismus“ mitunterzeichnet hat. Dieser Kaplan Fahsel, ein Vielredner, bringt durch seine Anreißertätigkeit im [TREFFER] jüdischen
Warenhaus [/TREFFER] die ganze katholische Geistlichkeit der uneingeweihten Öffentlichkeit gegenüber in schweren Mißkredit. Die Öffentlichkeit ist nämlich"
52. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,,,"Gewinn von Gratisreifen. Die anderen Judengeschäfte werden durch Dich immer leerer, und in dieses neue [TREFFER] Judengeschäft [/TREFFER] bringen die Christen das Geld in Massen. Aber die billigen Hüte aus den Fenstern und"
59. Ausgabe 1930.txt,jüdisch+Geschäftsbegriff,jüdisches Geschäft,,,"nachdrücklichst darauf hinzuweisen, daß sie bei ihr nicht bekannten Käufern weitgehende Vorsicht üben muß. Ein [TREFFER] jüdisches Geschäft [/TREFFER] – Sie laufen zum Reichskanzler. Im „Montag Morgen“ und in der nicht minder jüdischen „Volkszeitung“"
61. Ausgabe 1930.txt,jüdisch+Geschäftsbegriff,jüdische Firma,,,"energisch verbitten, wenn die Judenschaft christliche Symbole zum Kundenfang benutzt. Wir werden in Zukunft jede [TREFFER] jüdische Firma [/TREFFER] anprangern, die es überhaupt nur wagt, im Schaufenster oder bei der Ausstattung der Waren Dinge"
61. Ausgabe 1930.txt,Anprangerung,jüdische Firma anprangern,,,"energisch verbitten, wenn die Judenschaft christliche Symbole zum Kundenfang benutzt. Wir werden in Zukunft jede [TREFFER] jüdische Firma anprangern [/TREFFER] , die es überhaupt nur wagt, im Schaufenster oder bei der Ausstattung der Waren Dinge"
62. Ausgabe 1930.txt,Judenladen,Judenladen,Judenladen,Jakobs Söhnen,"Stamm / Alles, was recht feist und stramm. / Manches hübsche Menschenkind / Man im [TREFFER] Judenladen [/TREFFER] find, / Doch die Schönsten von den Schönen / Die findet man bei Jakobs Söhnen"
OCR 11 komplett.txt,jüdisch+Geschäftsbegriff,jüdisches Warenhaus,,,"Bestrafung der beiden ungetreuen Beamten legte! Man braucht sich über nichts mehr zu wundern. Ein [TREFFER] jüdisches Warenhaus [/TREFFER] auf der Großenstraße nennt sich in einer Annonce in den hiesigen Blättern „billig und gut“,"
OCR 19. Ausgabe korrekt.txt,jüdisch+Geschäftsbegriff,jüdischen Firma,Juden Falk,,"die Stadtverordnetenwahlen aufzustellen, hat es tatsächlich ein Teilnehmer fertig gebracht, den Juden Falk, Mitinhaber der [TREFFER] jüdischen Firma [/TREFFER] Alsberg & Co., als Kandidaten vorzuschlagen. Hat man da noch Worte? Es ist doch einfach"
OCR 23. Ausgabe.txt,Boykottparole,Kauft nicht bei Jude,,Hochachtungsvoll,"machen an dem Herbstneujahr und Versöhnungstag ihre Schachergeschäfte auf; denn Geld ist beim Juden alles. [TREFFER] Kauft nicht bei Jude [/TREFFER] n! Möge Ihr Ruf, geehrte Redaktion, überall befolgt werden. Hochachtungsvoll Ein Osnabrücker Christ. [Artikel 6]"
OCR 27. Ausgabe.txt,jüdisch+Geschäftsbegriff,jüdischen Firma,,,"Die Stadtverwaltung Berlin hat also ein Wertobjekt von 250 Millionen für 368 000 Mark einer [TREFFER] jüdischen Firma [/TREFFER] verkuppelt. Aus jedem Arbeiter, Gewerbetreibenden und Angestellten preßt Staat, Stadt und Gemeinde horrende Steuern heraus,"
OCR 33. Ausgabe.txt,jüdisch+Geschäftsbegriff,jüdisches Geschäft,,,"zu Weihnachten erwarten, im Sinne der Selbsterhaltung des Festes. Dabei gibt es kein Warenhaus und [TREFFER] jüdisches Geschäft [/TREFFER] , das in der Lage noch gesonnen ist, seine meist minderwertige Ware billiger zu verkaufen"
OCR 33. Ausgabe.txt,jüdisch+Geschäftsbegriff,jüdische Firma,,,"dafür ein Osnabrücker Beispiel: Eine große Kristallwarenfabrik lieferte einige sehr gangbare Artikel bisher an die [TREFFER] jüdische Firma [/TREFFER] Wertheim, Große Straße, sowie an ein kleineres Geschäft in der Johannisstraße. Als der Vertreter besagter"
OCR 35. Ausgabe .txt,jüdisch+Geschäftsbegriff,jüdisches Warenhaus,,,"sich keine teuren Schirme leisten können, haben die kleinen Spezialgeschäfte großen Schaden. Würde nun ein [TREFFER] jüdisches Warenhaus [/TREFFER] in dieser geradezu schäbigen Weise vorgehen, so wäre das für uns wohl verständlich, daß aber"
