scope,target,collocate,cofreq,freq_target,freq_collocate,n_total,ll,pmi
gesamt,jude,kaufen,213,2013,522,525359,1689.9826,6.7346
gesamt,jude,gebot,149,2013,177,525359,1515.0986,7.7794
gesamt,jude,deutsch,276,2013,3496,525359,1201.4134,4.3648
gesamt,jude,jüdisch,204,2013,1304,525359,1168.0807,5.3515
gesamt,jude,volk,165,2013,1759,525359,766.4054,4.6136
gesamt,jude,christ,81,2013,142,525359,711.1553,7.2179
gesamt,jude,seite,117,2013,1421,525359,510.0604,4.4255
gesamt,jude,deutschland,111,2013,1244,525359,501.4886,4.5415
gesamt,jude,deutsche,73,2013,396,525359,438.9617,5.5883
gesamt,jude,unglück,45,2013,108,525359,355.5779,6.7648
gesamt,jude,rasse,42,2013,113,525359,319.7024,6.6
gesamt,jude,christlich,55,2013,385,525359,300.2768,5.2205
gesamt,jude,nichtjude,27,2013,37,525359,257.7377,7.5732
gesamt,jude,herr,100,2013,3134,525359,254.3748,3.0579
gesamt,jude,klüngel,30,2013,62,525359,248.6713,6.9805
gesamt,jude,land,56,2013,659,525359,246.0674,4.471
gesamt,jude,osnabrück,86,2013,2804,525359,212.1697,3.0008
gesamt,jude,leben,51,2013,782,525359,197.2851,4.0892
gesamt,jude,inserent,20,2013,33,525359,178.6241,7.3053
gesamt,jude,international,33,2013,238,525359,177.7473,5.1774
gesamt,jüdisch,jude,204,1304,2013,525359,1168.0807,5.3515
gesamt,jüdisch,deutsch,206,1304,3496,525359,953.3895,4.5692
gesamt,jüdisch,staatsbürger,59,1304,107,525359,563.5714,7.7954
gesamt,jüdisch,geschäft,82,1304,576,525359,519.9064,5.8418
gesamt,jüdisch,volk,102,1304,1759,525359,460.6402,4.5461
gesamt,jüdisch,firma,57,1304,444,525359,347.8447,5.6927
gesamt,jüdisch,glauben,59,1304,694,525359,309.8617,5.0981
gesamt,jüdisch,christlich,50,1304,385,525359,306.0762,5.7094
gesamt,jüdisch,warenhaus,45,1304,259,525359,303.273,6.1293
gesamt,jüdisch,berlin,46,1304,681,525359,219.8072,4.7663
gesamt,jüdisch,deutsche,35,1304,396,525359,185.9618,5.1541
gesamt,jüdisch,judentum,28,1304,174,525359,183.7038,6.0186
gesamt,jüdisch,mosbach,25,1304,111,525359,182.4086,6.5037
gesamt,jüdisch,presse,43,1304,835,525359,182.281,4.3748
gesamt,jüdisch,kampf,38,1304,558,525359,181.9771,4.778
gesamt,jüdisch,rasse,25,1304,113,525359,181.4079,6.4779
gesamt,jüdisch,centralverein,15,1304,17,525359,167.8268,8.4736
gesamt,jüdisch,stehen,49,1304,1470,525359,166.869,3.7473
gesamt,jüdisch,folgend,36,1304,575,525359,166.3109,4.6567
gesamt,jüdisch,osnabrück,57,1304,2804,525359,142.511,3.0338
gesamt,judentum,international,24,174,238,525359,232.5922,8.2501
gesamt,judentum,jüdisch,28,174,1304,525359,183.7038,6.0186
gesamt,judentum,jude,22,174,2013,525359,114.1452,5.0443
gesamt,judentum,volk,21,174,1759,525359,112.4699,5.1718
gesamt,judentum,deutsch,24,174,3496,525359,103.1378,4.3735
gesamt,judentum,kampf,12,174,558,525359,77.6038,6.0208
gesamt,judentum,marxismus,7,174,65,525359,68.085,8.345
gesamt,judentum,rasse,7,174,113,525359,60.0339,7.5472
gesamt,judentum,deutschland,12,174,1244,525359,58.6424,4.8642
gesamt,judentum,kapitalismus,6,174,75,525359,54.5914,7.9161
gesamt,judentum,welt,8,174,446,525359,48.6653,5.7591
gesamt,judentum,schrift,5,174,56,525359,46.6069,8.0746
gesamt,judentum,herrschaft,6,174,157,525359,45.5177,6.8503
gesamt,judentum,christlich,7,174,385,525359,42.7301,5.7786
gesamt,judentum,land,8,174,659,525359,42.5067,5.1959
gesamt,judentum,führen,8,174,683,525359,41.9461,5.1443
gesamt,judentum,national,6,174,249,525359,39.9555,6.185
gesamt,judentum,internationalismus,3,174,8,525359,37.5469,10.145
gesamt,judentum,völkisch,4,174,46,525359,37.0417,8.0364
gesamt,judentum,kirche,5,174,157,525359,36.0635,6.5873
1929,jude,deutsch,101,454,950,123496,517.9227,4.854
1929,jude,christ,39,454,67,123496,349.8168,7.3069
1929,jude,volk,59,454,494,123496,310.8758,5.0218
1929,jude,jüdisch,35,454,292,123496,182.7956,5.027
1929,jude,vaterland,20,454,44,123496,164.6619,6.9501
1929,jude,kaufen,24,454,125,123496,148.7961,5.7067
1929,jude,christlich,22,454,92,123496,147.0149,6.0234
1929,jude,deutsche,21,454,110,123496,129.7966,5.6985
1929,jude,klüngel,15,454,29,123496,128.607,7.1365
1929,jude,deutschland,27,454,306,123496,123.642,4.5851
1929,jude,international,18,454,95,123496,110.8396,5.6876
1929,jude,beleidigung,11,454,28,123496,86.1985,6.7396
1929,jude,heimat,11,454,46,123496,73.2415,6.0234
1929,jude,republik,14,454,115,123496,72.9338,5.0494
1929,jude,nennen,14,454,137,123496,67.8937,4.7969
1929,jude,rasse,9,454,28,123496,66.057,6.4501
1929,jude,stets,11,454,71,123496,62.8027,5.3972
1929,jude,verraten,8,454,21,123496,62.019,6.6952
1929,jude,bringen,16,454,256,123496,61.9623,4.0876
1929,jude,lassen,19,454,420,123496,61.8933,3.6212
1929,jüdisch,deutsch,60,292,950,123496,294.6871,4.7394
1929,jüdisch,jude,35,292,454,123496,182.7956,5.027
1929,jüdisch,palästina,11,292,19,123496,107.6299,7.9358
1929,jüdisch,volk,24,292,494,123496,102.3471,4.3609
1929,jüdisch,warenhaus,14,292,78,123496,96.8752,6.2462
1929,jüdisch,deutsche,15,292,110,123496,94.9979,5.8498
1929,jüdisch,berlin,17,292,179,123496,94.9615,5.3279
1929,jüdisch,christlich,14,292,92,123496,91.8853,6.0081
1929,jüdisch,staatsbürger,9,292,16,123496,87.2315,7.8942
1929,jüdisch,geld,15,292,227,123496,72.6584,4.8046
1929,jüdisch,presse,13,292,167,123496,67.1709,5.041
1929,jüdisch,araber,6,292,10,123496,59.2487,7.9873
1929,jüdisch,judentum,7,292,23,123496,56.6365,7.0081
1929,jüdisch,geschäft,10,292,103,123496,56.0763,5.3597
1929,jüdisch,aufsichtsrat,6,292,13,123496,54.778,7.6088
1929,jüdisch,wiederum,6,292,16,123496,51.5667,7.3092
1929,jüdisch,bank,9,292,89,123496,51.1937,5.4185
1929,jüdisch,arzt,10,292,132,123496,51.0211,5.0018
1929,jüdisch,wertheim,5,292,8,123496,49.987,8.0462
1929,jüdisch,adelsgenossenschaft,4,292,4,123496,48.4326,8.7243
1929,judentum,jüdisch,7,23,292,123496,56.6365,7.0081
1929,judentum,international,4,23,95,123496,36.3057,7.8207
1929,judentum,jude,4,23,454,123496,23.7672,5.564
1929,judentum,deutsch,4,23,950,123496,17.9953,4.4988
1930,jude,kaufen,184,1125,313,266239,1620.1888,7.1202
1930,jude,gebot,147,1125,152,266239,1583.2652,7.8384
1930,jude,jüdisch,130,1125,775,266239,740.6848,5.311
1930,jude,deutsch,118,1125,1587,266239,473.7267,4.1372
1930,jude,volk,84,1125,881,266239,376.4906,4.496
1930,jude,deutsche,43,1125,185,266239,272.33,5.7815
1930,jude,christ,31,1125,60,266239,256.9163,6.934
1930,jude,seite,54,1125,849,266239,197.3992,3.9119
1930,jude,rasse,25,1125,66,266239,186.6498,6.4861
1930,jude,leben,38,1125,345,266239,179.9645,4.7041
1930,jude,inserent,19,1125,28,266239,172.9628,7.3272
1930,jude,deutschland,41,1125,570,266239,159.2832,4.0894
1930,jude,staat,34,1125,354,266239,151.449,4.5065
1930,jude,osnabrück,57,1125,1536,266239,150.6839,3.1346
1930,jude,land,33,1125,340,266239,147.6662,4.5217
1930,jude,christlich,28,1125,226,266239,139.1412,4.8738
1930,jude,geschäft,30,1125,366,266239,124.015,4.2778
1930,jude,herr,47,1125,1443,266239,112.8648,2.9464
1930,jude,unglück,15,1125,40,266239,111.4822,6.4716
1930,jude,simoneit,21,1125,166,266239,105.1387,4.9039
1930,jüdisch,jude,130,775,1125,266239,740.6848,5.311
1930,jüdisch,deutsch,112,775,1587,266239,522.6095,4.5996
1930,jüdisch,staatsbürger,46,775,73,266239,443.9436,7.758
1930,jüdisch,geschäft,66,775,366,266239,432.7344,5.953
1930,jüdisch,firma,42,775,237,266239,272.4612,5.9279
1930,jüdisch,volk,58,775,881,266239,258.5582,4.4993
1930,jüdisch,glauben,42,775,339,266239,240.4637,5.4115
1930,jüdisch,mosbach,25,775,107,266239,176.9004,6.3267
1930,jüdisch,warenhaus,27,775,157,266239,172.8752,5.8846
1930,jüdisch,kampf,31,775,300,266239,165.388,5.1497
1930,jüdisch,osnabrück,51,775,1536,266239,159.5325,3.5118
1930,jüdisch,christlich,27,775,226,266239,152.0195,5.359
1930,jüdisch,folgend,29,775,310,266239,148.736,5.0062
1930,jüdisch,name,24,775,225,266239,129.4007,5.1955
1930,jüdisch,rasse,17,775,66,266239,123.883,6.4674
1930,jüdisch,centralverein,11,775,13,266239,117.4698,8.1833
1930,jüdisch,judentum,19,775,132,266239,114.2227,5.6278
1930,jüdisch,berlin,23,775,316,266239,106.138,4.6441
1930,jüdisch,empfehlung,10,775,14,266239,100.1864,7.9389
1930,jüdisch,presse,25,775,510,266239,95.9856,4.0738
1930,judentum,international,17,132,102,266239,169.1657,8.393
1930,judentum,jüdisch,19,132,775,266239,114.2227,5.6278
1930,judentum,volk,19,132,881,266239,109.3846,5.4429
1930,judentum,kampf,12,132,300,266239,83.2427,6.3341
1930,judentum,jude,16,132,1125,266239,78.624,4.8423
1930,judentum,marxismus,7,132,35,266239,71.9068,8.656
1930,judentum,rasse,7,132,66,266239,62.3218,7.7409
1930,judentum,deutsch,15,132,1587,266239,61.7345,4.2528
1930,judentum,welt,8,132,196,266239,55.5718,6.3633
1930,judentum,schrift,5,132,27,266239,50.4313,8.545
1930,judentum,kapitalismus,5,132,31,266239,48.9182,8.3457
1930,judentum,deutschland,9,132,570,266239,45.5865,4.9931
1930,judentum,national,6,132,108,266239,45.3408,6.808
1930,judentum,völkisch,4,132,23,266239,39.7618,8.4544
1930,judentum,christlich,6,132,226,266239,36.4128,5.7428
1930,judentum,wirken,5,132,104,266239,36.2745,6.5995
1930,judentum,zeitung,7,132,422,266239,36.0282,5.0642
1930,judentum,tatsache,6,132,274,266239,34.1188,5.4649
1930,judentum,zielenziger,3,132,10,266239,33.5143,9.241
1930,judentum,führen,6,132,338,266239,31.6352,5.1621
1931,jude,seite,60,403,393,132125,370.3575,5.6454
1931,jude,unglück,30,403,61,132125,265.4658,7.3331
1931,jude,jüdisch,38,403,222,132125,241.7087,5.8104
1931,jude,deutschland,43,403,361,132125,241.0033,5.2873
1931,jude,nichtjude,18,403,19,132125,201.5167,8.2789
1931,jude,deutsch,44,403,909,132125,167.1317,3.9882
1931,jude,hilfsverein,12,403,21,132125,110.7527,7.5496
1931,jude,christ,11,403,15,132125,110.3649,7.9094
1931,jude,osnabrück,27,403,524,132125,104.7529,4.0784
1931,jude,anständig,13,403,45,132125,97.1148,6.5655
1931,jude,page,15,403,83,132125,96.3078,5.8888
1931,jude,osten,9,403,11,132125,94.049,8.0674
1931,jude,bringen,20,403,296,132125,87.9112,4.4694
1931,jude,geld,18,403,217,132125,86.4219,4.7653
1931,jude,talmud,9,403,14,132125,86.2488,7.7195
1931,jude,herr,26,403,694,132125,84.95,3.6186
1931,jude,glauben,16,403,169,132125,81.0333,4.956
1931,jude,betrügen,9,403,28,132125,69.4169,6.7195
1931,jude,volk,18,403,364,132125,68.0295,4.019
1931,jude,rasse,8,403,19,132125,67.0424,7.109
1931,jüdisch,jude,38,222,403,132125,241.7087,5.8104
1931,jüdisch,volkstum,9,222,9,132125,115.3682,9.2171
1931,jüdisch,geist,12,222,46,132125,101.2949,7.2785
1931,jüdisch,deutsch,24,222,909,132125,90.21,3.974
1931,jüdisch,volk,16,222,364,132125,75.4377,4.7093
1931,jüdisch,liga,6,222,7,132125,71.0909,8.9947
1931,jüdisch,statistik,7,222,17,132125,66.664,7.937
1931,jüdisch,rituell,6,222,9,132125,65.3818,8.6322
1931,jüdisch,rasse,6,222,19,132125,53.1729,7.5542
1931,jüdisch,sozialist,4,222,4,132125,51.183,9.2171
1931,jüdisch,stehen,13,222,450,132125,50.4983,4.1038
1931,jüdisch,zeitung,9,222,144,132125,48.472,5.2171
1931,jüdisch,christlich,7,222,65,132125,45.439,6.0021
1931,jüdisch,leffer,4,222,6,132125,43.5514,8.6322
1931,jüdisch,schlachter,4,222,6,132125,43.5514,8.6322
1931,jüdisch,echt,7,222,76,132125,43.1691,5.7766
1931,jüdisch,gesetzbuch,4,222,7,132125,41.6322,8.4098
1931,jüdisch,tier,6,222,45,132125,41.6162,6.3102
1931,jüdisch,masse,6,222,53,132125,39.5472,6.0742
1931,jüdisch,glauben,8,222,169,132125,38.6124,4.8162
1931,judentum,nachfolgend,3,18,8,132125,43.3532,11.4266
1931,judentum,freitag,3,18,75,132125,28.7618,8.1978
1931,judentum,deutsch,5,18,909,132125,28.7271,5.3354
1931,judentum,deutschland,3,18,361,132125,19.3019,5.9307
